apple,SMA30,SMA100
118.136032,105.86278096666668,100.92824767
117.888214,106.55440743333332,101.21629699
118.851883,107.23275293333334,101.48776861999998
122.064079,107.89201603333332,101.79718763999999
121.302315,108.52223173333331,102.09316359
118.200256,109.13314836666667,102.37240973
119.696228,109.76437216666666,102.66006177999999
117.8974,110.3484331,102.93227423
118.475578,111.04257523333334,103.21026846000001
118.723381,111.77026916666667,103.49865987999999
117.970802,112.38968623333334,103.76086584000001
116.015945,112.9186507,104.00152066999999
116.190331,113.36658163333333,104.24655905000002
116.685921,113.81335873333335,104.50492727999999
114.272171,114.17602073333335,104.7488066
112.188843,114.58990853333333,104.98286605
114.21711,114.88339126666668,105.24885909999999
113.427818,115.04116916666666,105.49412512999999
114.676003,115.29357473333333,105.73284935
116.594139,115.56512396666668,105.96608780000001
